SEASON,Match,Date,Home Team,Away team,Home score,Away score,Result,how
IPL 2021,28th Match,02-05-2021,Rajasthan Royals,Sunrisers Hyderabad,220/3 (20 ov),165/8 (20 ov),Rajasthan Royals,RR 4/2 won by 55 runs
IPL 2021,29th Match,02-05-2021,Punjab Kings,Delhi Capitals,166/6 (20 ov),167/3 (17.4 ov),Delhi Capitals,DC 6/2 won by 7 wkts
IPL 2021,30th Match,03-05-2021,Kolkata Knight Riders,Royal Challengers Bengaluru,,,Match rescheduled due to Covid-19 pandemic,Match rescheduled due to Covid-19 pandemic
IPL 2021,31st Match,04-05-2021,Sunrisers Hyderabad,Mumbai Indians,,,Match postponed due to Covid-19 pandemic,Match postponed due to Covid-19 pandemic
IPL 2021,30th Match,19-09-2021,Chennai Super Kings,Mumbai Indians,156/6 (20 ov),136/8 (20 ov),Chennai Super Kings,CSK 9/4 won by 20 runs
IPL 2021,31st Match,20-09-2021,Kolkata Knight Riders,Royal Challengers Bengaluru,94/1 (10 ov),92/10 (19 ov),Kolkata Knight Riders,KKR 3/6 won by 9 wkts
IPL 2021,32nd Match,21-09-2021,Punjab Kings,Rajasthan Royals,183/4 (20 ov),185/10 (20 ov),Rajasthan Royals,RR 4/2 won by 2 runs
IPL 2021,33rd Match,22-09-2021,Delhi Capitals,Sunrisers Hyderabad,139/2 (17.5 ov),134/9 (20 ov),Delhi Capitals,DC 6/2 won by 8 wkts
IPL 2021,34th Match,23-09-2021,Mumbai Indians,Kolkata Knight Riders,155/6 (20 ov),159/3 (15.1 ov),Kolkata Knight Riders,KKR 3/6 won by 7 wkts
IPL 2021,35th Match,24-09-2021,Royal Challengers Bengaluru,Chennai Super Kings,156/6 (20 ov),157/4 (18.1 ov),Chennai Super Kings,CSK 9/4 won by 6 wkts
IPL 2021,36th Match,25-09-2021,Delhi Capitals,Rajasthan Royals,154/6 (20 ov),121/6 (20 ov),Delhi Capitals,DC 6/2 won by 33 runs
IPL 2021,37th Match,25-09-2021,Sunrisers Hyderabad,Punjab Kings,120/7 (20 ov),125/7 (20 ov),Punjab Kings,PUN 1/7 won by 5 runs
IPL 2021,38th Match,26-09-2021,Chennai Super Kings,Kolkata Knight Riders,172/8 (20 ov),171/6 (20 ov),Chennai Super Kings,CSK 9/4 won by 2 wkts
IPL 2021,39th Match,26-09-2021,Royal Challengers Bengaluru,Mumbai Indians,165/6 (20 ov),111/10 (18.1 ov),Royal Challengers Bengaluru,RCB 9/7 won by 54 runs
IPL 2021,40th Match,27-09-2021,Sunrisers Hyderabad,Rajasthan Royals,167/3 (18.3 ov),164/5 (20 ov),Sunrisers Hyderabad,SRH 1/3 won by 7 wkts
IPL 2021,41st Match,28-09-2021,Kolkata Knight Riders,Delhi Capitals,130/7 (18.2 ov),127/9 (20 ov),Kolkata Knight Riders,KKR 3/6 won by 3 wkts
IPL 2021,42nd Match,28-09-2021,Mumbai Indians,Punjab Kings,137/4 (19 ov),135/6 (20 ov),Mumbai Indians,MI 2/3 won by 6 wkts
IPL 2021,43rd Match,29-09-2021,Rajasthan Royals,Royal Challengers Bengaluru,153/3 (17.1 ov),149/9 (20 ov),Royal Challengers Bengaluru,RCB 9/7 won by 7 wkts
IPL 2021,44th Match,30-09-2021,Sunrisers Hyderabad,Chennai Super Kings,134/7 (20 ov),139/4 (19.4 ov),Chennai Super Kings,CSK 9/4 won by 6 wkts
IPL 2021,45th Match,01-10-2021,Kolkata Knight Riders,Punjab Kings,165/7 (20 ov),168/5 (19.3 ov),Punjab Kings,PUN 1/7 won by 5 wkts
IPL 2021,46th Match,02-10-2021,Mumbai Indians,Delhi Capitals,129/8 (20 ov),132/6 (19.1 ov),Delhi Capitals,DC 6/2 won by 4 wkts
IPL 2021,47th Match,02-10-2021,Rajasthan Royals,Chennai Super Kings,190/3 (17.3 ov),189/4 (20 ov),Rajasthan Royals,RR 4/2 won by 7 wkts
IPL 2021,48th Match,03-10-2021,Royal Challengers Bengaluru,Punjab Kings,164/7 (20 ov),158/6 (20 ov),Royal Challengers Bengaluru,RCB 9/7 won by 6 runs
IPL 2021,49th Match,03-10-2021,Kolkata Knight Riders,Sunrisers Hyderabad,119/4 (19.4 ov),115/8 (20 ov),Kolkata Knight Riders,KKR 3/6 won by 6 wkts
IPL 2021,50th Match,04-10-2021,Delhi Capitals,Chennai Super Kings,139/7 (19.4 ov),136/5 (20 ov),Delhi Capitals,DC 6/2 won by 3 wkts
IPL 2021,51st Match,05-10-2021,Rajasthan Royals,Mumbai Indians,90/9 (20 ov),94/2 (8.2 ov),Mumbai Indians,MI 2/3 won by 8 wkts
IPL 2021,52nd Match,06-10-2021,Royal Challengers Bengaluru,Sunrisers Hyderabad,137/6 (20 ov),141/7 (20 ov),Sunrisers Hyderabad,SRH 1/3 won by 4 runs
IPL 2021,53rd Match,07-10-2021,Chennai Super Kings,Punjab Kings,134/6 (20 ov),139/4 (13 ov),Punjab Kings,PUN 1/7 won by 6 wkts
IPL 2021,54th Match,07-10-2021,Kolkata Knight Riders,Rajasthan Royals,171/4 (20 ov),85/10 (16.1 ov),Kolkata Knight Riders,KKR 3/6 won by 86 runs
IPL 2021,55th Match,08-10-2021,Sunrisers Hyderabad,Mumbai Indians,166/3 (20 ov),164/5 (20 ov),Mumbai Indians,MI 2/3 won by 42 runs
IPL 2021,56th Match,08-10-2021,Royal Challengers Bengaluru,Delhi Capitals,193/8 (20 ov),235/9 (20 ov),Royal Challengers Bengaluru,RCB 9/7 won by 7 wkts
IPL 2021,Qualifier 1,10-10-2021,Delhi Capitals,Chennai Super Kings,172/5 (20 ov),173/6 (19.4 ov),Chennai Super Kings,CSK 9/4 won by 4 wkts
IPL 2021,Eliminator,11-10-2021,Royal Challengers Bengaluru,Kolkata Knight Riders,138/7 (20 ov),139/6 (19.4 ov),Kolkata Knight Riders,KKR 3/6 won by 4 wkts
IPL 2021,Qualifier 2,13-10-2021,Delhi Capitals,Kolkata Knight Riders,135/5 (20 ov),136/7 (19.5 ov),Kolkata Knight Riders,KKR 3/6 won by 3 wkts
IPL 2021,Final,15-10-2021,Chennai Super Kings,Kolkata Knight Riders,192/3 (20 ov),165/9 (20 ov),Chennai Super Kings,CSK 9/4 won by 27 runs
